Startup Name,Amount_Cleaned,Sector_Standardized,City,State_Standardized,Investors' Name,Date_Parsed,Year
Apna,₹52.01 Cr,Foodtech,Bangalore,Karnataka,Kunal Shah,2023-12-12,2023
Country Delight,₹443.26 Cr,Healthtech,Bhubaneswar,Odisha,"Kalaari Capital, Naspers",2021-10-29,2021
Ather Energy,₹336.46 Cr,E-Commerce,Thiruvananthapuram,Kerala,SAIF Partners,2023-07-11,2023
Treebo,₹10.52 Cr,Logistics,Chennai,Tamil Nadu,Elevation Capital,2016-05-15,2016
SimplyNadu,₹870.26 Cr,SaaS,Ahmedabad,Gujarat,"Andreessen Horowitz, Kedaara Capital, Alibaba",2022-07-12,2022
Lybrate,₹230.74 Cr,Fintech,Chandigarh,Chandigarh,General Atlantic,2018-03-14,2018
Plum Insurance,₹10.80 Cr,Foodtech,Gurgaon,Haryana,Saama Capital,2024-02-21,2024
upGrad,₹2051.70 Cr,E-Commerce,Kolkata,West Bengal,"General Atlantic, Chiratae Ventures, Lightspeed India",2018-06-29,2018
FabHotels,₹231.95 Cr,SaaS,Pune,Maharashtra,"Nexus Venture Partners, Tiger Global",2021-04-11,2021
Ultraviolette,₹32.28 Cr,Fintech,Visakhapatnam,Andhra Pradesh,Sequoia Capital India,2025-06-02,2025
FamPay,₹153.45 Cr,Fintech,Kolkata,West Bengal,Mumbai Angels,2022-01-22,2022
Blue Smart,₹377.96 Cr,Fintech,Jaipur,Rajasthan,"Alibaba, Kalaari Capital",2024-02-03,2024
Zetwerk,₹24.65 Cr,Foodtech,Mumbai,Maharashtra,Elevation Capital,2017-11-08,2017
Noise,₹296.39 Cr,E-Commerce,Pune,Maharashtra,"Sequoia Capital, Andreessen Horowitz",2025-11-02,2025
BluSmart,₹20.55 Cr,Social Media,Chennai,Tamil Nadu,Blume Ventures,2023-10-25,2023
CommonFloor,₹283.74 Cr,E-Commerce,Delhi,Delhi,"Blume Ventures, Steadview Capital",2012-08-30,2012
Swiggy,₹451.25 Cr,Foodtech,Jaipur,Rajasthan,"Reliance Ventures, Lightspeed India",2016-07-30,2016
Zepto,₹120.35 Cr,E-Commerce,Bangalore,Karnataka,"SAIF Partners, Fireside Ventures",2024-06-04,2024
Fire-Boltt,₹42.30 Cr,Foodtech,Chennai,Tamil Nadu,Elevation Capital,2025-09-24,2025
Zetwerk,₹735.00 Cr,Foodtech,Indore,Madhya Pradesh,"Sequoia Capital, Google Ventures",2021-10-20,2021
Josh,₹112.67 Cr,Fintech,Thiruvananthapuram,Kerala,Indian Angel Network,2021-09-15,2021
Josh,₹15.53 Cr,Fintech,Mumbai,Maharashtra,Vijay Shekhar Sharma,2019-09-01,2019
ElasticRun,₹373.99 Cr,Gaming,Mysore,Karnataka,Peak XV Partners,2021-08-13,2021
Groww,₹38.60 Cr,Fintech,Gurgaon,Haryana,Kunal Shah,2017-03-20,2017
Cars24,₹68.99 Cr,Fintech,Hyderabad,Telangana,Sachin Bansal,2021-02-15,2021
SimplyNadu,₹22.45 Cr,SaaS,Kochi,Kerala,Nexus Venture Partners,2019-11-21,2019
Droom,₹750.32 Cr,Agritech,Chennai,Tamil Nadu,"SoftBank Vision Fund, TPG Capital, Andreessen Horowitz",2019-08-21,2019
Captain Fresh,₹16.29 Cr,Mobility,Gurgaon,Haryana,Kalaari Capital,2022-10-29,2022
Amazon Fresh,₹10.20 Cr,Gaming,Chennai,Tamil Nadu,Falguni Nayar,2021-10-29,2021
The Ken,₹63.89 Cr,E-Commerce,Bangalore,Karnataka,Peak XV Partners,2019-09-01,2019
Stable Money,₹832.50 Cr,E-Commerce,Hyderabad,Telangana,Times Internet,2024-03-25,2024
Go Digit,₹594.44 Cr,Social Media,Mumbai,Maharashtra,"Lightspeed Venture Partners, SAIF Partners",2019-03-12,2019
The Ken,₹12.31 Cr,E-Commerce,Jaipur,Rajasthan,Matrix Partners India,2021-09-26,2021
Ather Energy,₹15.37 Cr,E-Commerce,Mumbai,Maharashtra,Kalaari Capital,2014-04-26,2014
Country Delight,₹521.86 Cr,Healthtech,Thiruvananthapuram,Kerala,Andreessen Horowitz,2021-04-10,2021
Yulu,₹646.11 Cr,Mobility,Kochi,Kerala,Lightspeed India,2019-06-22,2019
Groww,₹25.80 Cr,Fintech,Pune,Maharashtra,Lightspeed India,2014-08-07,2014
Zetwerk,₹397.10 Cr,Foodtech,Chandigarh,Chandigarh,"Flipkart Ventures, Qualcomm Ventures, Sequoia Capital India",2020-08-30,2020
Haptik,₹32.57 Cr,Mobility,Kolkata,West Bengal,Fireside Ventures,2020-01-22,2020
Dunzo Daily,₹56.87 Cr,SaaS,Pune,Maharashtra,Chiratae Ventures,2020-02-11,2020
OkCredit,₹23.73 Cr,E-Commerce,Mumbai,Maharashtra,Kunal Shah,2019-11-26,2019
Arya.ag,₹37.29 Cr,Logistics,Kolkata,West Bengal,Chiratae Ventures,2022-07-23,2022
Rivigo,₹198.90 Cr,Foodtech,Delhi,Delhi,"Steadview Capital, Accel India",2016-01-09,2016
PolicyBazaar,₹67.08 Cr,E-Commerce,Mumbai,Maharashtra,"Sachin Bansal, Matrix Partners India",2015-05-28,2015
BigBasket,₹461.25 Cr,E-Commerce,Bangalore,Karnataka,Accel India,2017-08-09,2017
Ultraviolette,₹11.11 Cr,Fintech,Kolkata,West Bengal,Falguni Nayar,2022-01-09,2022
FirstCry,₹167.18 Cr,SaaS,Pune,Maharashtra,"Matrix Partners India, Andreessen Horowitz",2015-01-06,2015
Udaan,₹14.55 Cr,Fintech,Bangalore,Karnataka,Accel India,2017-02-08,2017
M2P Fintech,₹14.87 Cr,Fintech,Coimbatore,Tamil Nadu,Indian Angel Network,2019-08-18,2019
Captain Fresh,₹71.44 Cr,Mobility,Kolkata,West Bengal,Deepinder Goyal,2023-10-11,2023
Ather Energy,₹163.89 Cr,E-Commerce,Delhi,Delhi,Matrix Partners India,2017-02-28,2017
Ather Energy,₹16.61 Cr,E-Commerce,Delhi,Delhi,Blume Ventures,2015-05-10,2015
Niyo,₹139.19 Cr,Fintech,Hyderabad,Telangana,"Saama Capital, Vijay Shekhar Sharma",2021-09-18,2021
Razorpay,₹443.88 Cr,Fintech,Coimbatore,Tamil Nadu,Flipkart Ventures,2016-12-01,2016
Rivigo,₹34.31 Cr,Foodtech,Kolkata,West Bengal,Kalaari Capital,2014-02-27,2014
Paytm First Games,₹6.69 Cr,Social Media,Pune,Maharashtra,Nexus Venture Partners,2021-09-29,2021
Fire-Boltt,₹7.10 Cr,Foodtech,Coimbatore,Tamil Nadu,Sachin Bansal,2022-04-02,2022
Mamaearth,₹5.18 Cr,Edtech,Ahmedabad,Gujarat,Sequoia Capital India,2022-04-19,2022
Khatabook,₹1137.85 Cr,SaaS,Hyderabad,Telangana,"KKR India, Sequoia Capital, Blackstone, Alibaba",2023-01-20,2023
Freecharge,₹24.33 Cr,E-Commerce,Pune,Maharashtra,Kunal Shah,2015-09-26,2015
ElasticRun,₹12.68 Cr,Gaming,Gurgaon,Haryana,SAIF Partners,2024-10-17,2024
Udaan,₹7.08 Cr,Fintech,Delhi,Delhi,Deepinder Goyal,2013-10-27,2013
TaxiForSure,₹70.75 Cr,E-Commerce,Pune,Maharashtra,Ritesh Agarwal,2015-01-22,2015
PhonePe,₹54.00 Cr,E-Commerce,Hyderabad,Telangana,Kunal Shah,2016-08-04,2016
FirstCry,₹415.57 Cr,SaaS,Bangalore,Karnataka,Reliance Ventures,2016-03-08,2016
Ditto Insurance,₹4.32 Cr,Logistics,Chennai,Tamil Nadu,Vijay Shekhar Sharma,2024-01-26,2024
DailyHunt,₹478.29 Cr,Fintech,Hyderabad,Telangana,"Reliance Ventures, Naspers",2024-10-25,2024
EarlySalary,₹669.90 Cr,Mobility,Chandigarh,Chandigarh,Wipro Ventures,2024-05-18,2024
Grofers,₹32.63 Cr,E-Commerce,Pune,Maharashtra,Vijay Shekhar Sharma,2018-01-29,2018
FabHotels,₹3.64 Cr,SaaS,Mumbai,Maharashtra,Fireside Ventures,2018-09-06,2018
Revv,₹61.24 Cr,Fintech,Lucknow,Uttar Pradesh,Mumbai Angels,2019-06-05,2019
Zepto,₹173.72 Cr,E-Commerce,Gurgaon,Haryana,"Chiratae Ventures, Accel India",2021-12-18,2021
CarWale,₹3.70 Cr,SaaS,Gurgaon,Haryana,Kalaari Capital,2018-05-24,2018
Flipkart Quick,₹4.49 Cr,SaaS,Gurgaon,Haryana,Kalaari Capital,2023-10-09,2023
INDmoney,₹255.37 Cr,Fintech,Chennai,Tamil Nadu,"General Atlantic, Fireside Ventures",2025-05-11,2025
Mamaearth,₹17.11 Cr,Edtech,Hyderabad,Telangana,Accel India,2023-02-02,2023
Pepperfry,₹655.82 Cr,E-Commerce,Delhi,Delhi,"Peak XV Partners, Qualcomm Ventures, Tencent",2016-07-14,2016
Infra.Market,₹735.00 Cr,E-Commerce,Vadodara,Gujarat,"Andreessen Horowitz, Sequoia Capital India",2021-12-16,2021
UrbanClap,₹9.75 Cr,E-Commerce,Mumbai,Maharashtra,SAIF Partners,2010-03-29,2010
Dunzo,₹16.84 Cr,SaaS,Mumbai,Maharashtra,Saama Capital,2015-02-20,2015
Amazon Fresh,₹285.13 Cr,Gaming,Bangalore,Karnataka,Steadview Capital,2022-03-09,2022
Captain Fresh,₹10.21 Cr,Mobility,Chennai,Tamil Nadu,Sachin Bansal,2022-06-08,2022
Rivigo,₹152.94 Cr,Foodtech,Gurgaon,Haryana,"Flipkart Ventures, Google Ventures",2014-01-23,2014
Purplle,₹41.64 Cr,Foodtech,Chennai,Tamil Nadu,Nexus Venture Partners,2025-08-21,2025
BharatPe,₹41.65 Cr,Healthtech,Chennai,Tamil Nadu,SAIF Partners,2024-10-09,2024
Delhivery,₹22.60 Cr,E-Commerce,Hyderabad,Telangana,Peak XV Partners,2016-08-19,2016
Naukri,₹232.62 Cr,E-Commerce,Mumbai,Maharashtra,Steadview Capital,2014-10-01,2014
Jumbotail,₹8.74 Cr,SaaS,Ahmedabad,Gujarat,Mumbai Angels,2019-03-09,2019
BYJU'S,₹8.61 Cr,Foodtech,Delhi,Delhi,Fireside Ventures,2013-06-01,2013
Purplle,₹45.89 Cr,Foodtech,Chennai,Tamil Nadu,Deepinder Goyal,2025-07-30,2025
UrbanLadder,₹110.75 Cr,Fintech,Mumbai,Maharashtra,"Elevation Capital, Falguni Nayar",2014-12-01,2014
Dream11,₹27.20 Cr,Edtech,Mumbai,Maharashtra,Elevation Capital,2017-06-03,2017
SimplyNadu,₹142.68 Cr,SaaS,Kochi,Kerala,Binny Bansal,2020-10-03,2020
Myntra,₹310.51 Cr,E-Commerce,Kochi,Kerala,Saama Capital,2015-10-28,2015
PolicyBazaar,₹10.03 Cr,E-Commerce,Bangalore,Karnataka,SAIF Partners,2014-03-21,2014
Cars24,₹323.08 Cr,Fintech,Gurgaon,Haryana,"Sequoia Capital India, SAIF Partners",2020-03-17,2020
FirstCry,₹821.16 Cr,SaaS,Chennai,Tamil Nadu,"Carlyle Group, Sequoia Capital, Naspers",2017-12-16,2017
Moglix,₹9.39 Cr,Healthtech,Bangalore,Karnataka,Mumbai Angels,2019-07-12,2019
Jumbotail,₹260.09 Cr,SaaS,Bangalore,Karnataka,Saama Capital,2024-04-03,2024
DailyHunt,₹442.70 Cr,Fintech,Coimbatore,Tamil Nadu,"Nexus Venture Partners, Matrix Partners India",2024-05-24,2024
INDmoney,₹91.34 Cr,Fintech,Coimbatore,Tamil Nadu,"Deepinder Goyal, Blume Ventures",2025-02-03,2025
The HealthInsurance,₹16.80 Cr,Edtech,Chennai,Tamil Nadu,Deepinder Goyal,2023-06-13,2023
Go Digit,₹33.11 Cr,Social Media,Chandigarh,Chandigarh,Ritesh Agarwal,2017-12-12,2017
Ditto Insurance,₹7.84 Cr,Logistics,Lucknow,Uttar Pradesh,Sequoia Capital India,2025-02-15,2025
Yatra,₹156.80 Cr,E-Commerce,Gurgaon,Haryana,"Fireside Ventures, Accel Partners",2014-11-08,2014
Droom,₹2.16 Cr,Agritech,Delhi,Delhi,Blume Ventures,2018-09-03,2018
Zetwerk,₹69.11 Cr,Foodtech,Kochi,Kerala,Binny Bansal,2020-03-14,2020
Ather Energy,₹1474.65 Cr,E-Commerce,Coimbatore,Tamil Nadu,"Carlyle Group, Accel India, TPG Capital, SoftBank Vision Fund",2024-03-14,2024
Ninjacart,₹21.36 Cr,Mobility,Bangalore,Karnataka,Nexus Venture Partners,2023-01-28,2023
KissanKraft,₹993.58 Cr,Gaming,Ahmedabad,Gujarat,"Tiger Global, Andreessen Horowitz",2025-02-06,2025
Grofers,₹9.89 Cr,E-Commerce,Indore,Madhya Pradesh,Bhavish Aggarwal,2015-02-11,2015
BharatMatrimony,₹61.71 Cr,E-Commerce,Hyderabad,Telangana,Blume Ventures,2012-01-21,2012
Plum Insurance,₹7.98 Cr,Foodtech,Surat,Gujarat,Peak XV Partners,2022-01-08,2022
Freshdesk,₹9.36 Cr,E-Commerce,Pune,Maharashtra,Deepinder Goyal,2010-08-28,2010
Plum Insurance,₹6.40 Cr,Foodtech,Chennai,Tamil Nadu,Nexus Venture Partners,2022-12-14,2022
EarlySalary,₹281.55 Cr,Mobility,Mumbai,Maharashtra,Matrix Partners India,2024-11-29,2024
The Ken,₹17.20 Cr,E-Commerce,Chandigarh,Chandigarh,Nexus Venture Partners,2019-02-01,2019
Xpressbees,₹243.96 Cr,Fintech,Pune,Maharashtra,Naspers,2021-10-13,2021
MakeMyTrip,₹314.20 Cr,E-Commerce,Gurgaon,Haryana,"Coatue Management, SoftBank Vision Fund, Nexus Venture Partners",2014-11-03,2014
Meesho,₹9.96 Cr,E-Commerce,Jaipur,Rajasthan,Fireside Ventures,2018-03-21,2018
Infra.Market,₹22.09 Cr,E-Commerce,Delhi,Delhi,Accel India,2019-10-04,2019
Noise,₹555.65 Cr,E-Commerce,Gurgaon,Haryana,"Nexus Venture Partners, Lightspeed India",2025-09-14,2025
Chingari,₹47.65 Cr,Healthtech,Chennai,Tamil Nadu,Kunal Shah,2023-05-28,2023
Zetwerk,₹7.11 Cr,Foodtech,Delhi,Delhi,Vijay Shekhar Sharma,2020-03-14,2020
Tractor Junction,₹19.44 Cr,Logistics,Visakhapatnam,Andhra Pradesh,Accel India,2025-07-24,2025
MakeMyTrip,₹16.48 Cr,E-Commerce,Chennai,Tamil Nadu,Peak XV Partners,2013-05-21,2013
Zepto,₹13.01 Cr,E-Commerce,Kolkata,West Bengal,Fireside Ventures,2023-05-20,2023
CarDekho,₹28.20 Cr,E-Commerce,Gurgaon,Haryana,Matrix Partners India,2011-09-17,2011
Amazon Fresh,₹4.15 Cr,Gaming,Jaipur,Rajasthan,Saama Capital,2019-05-18,2019
Udaan,₹5.09 Cr,Fintech,Mumbai,Maharashtra,Kalaari Capital,2016-01-06,2016
Moglix,₹79.00 Cr,Healthtech,Kochi,Kerala,"Peak XV Partners, Saama Capital",2021-03-30,2021
Flipkart,₹60.48 Cr,E-Commerce,Pune,Maharashtra,Deepinder Goyal,2014-06-29,2014
Simplilearn,₹1407.88 Cr,Fintech,Pune,Maharashtra,"SAIF Partners, Sequoia Capital, Blackstone, KKR India, Chiratae Ventures",2016-04-13,2016
DealShare,₹73.50 Cr,Foodtech,Mysore,Karnataka,Falguni Nayar,2021-09-08,2021
Blinkit,₹87.50 Cr,Edtech,Delhi,Delhi,Fireside Ventures,2024-10-05,2024
Moj,₹5.83 Cr,Edtech,Chandigarh,Chandigarh,Chiratae Ventures,2019-06-14,2019
Wow Skin Science,₹180.04 Cr,E-Commerce,Hyderabad,Telangana,"Aditya Birla Ventures, Blume Ventures",2023-07-20,2023
FreshToHome,₹119.57 Cr,Fintech,Pune,Maharashtra,"Deepinder Goyal, Accel India",2024-02-08,2024
Josh,₹541.87 Cr,Fintech,Hyderabad,Telangana,Chiratae Ventures,2024-11-26,2024
Toppr,₹36.55 Cr,E-Commerce,Indore,Madhya Pradesh,Vijay Shekhar Sharma,2015-07-15,2015
FabFurnish,₹150.39 Cr,Foodtech,Pune,Maharashtra,"Chiratae Ventures, Tencent",2017-05-02,2017
Purplle,₹38.75 Cr,Foodtech,Mysore,Karnataka,Deepinder Goyal,2024-12-15,2024
Licious,₹735.00 Cr,Logistics,Pune,Maharashtra,"Matrix Partners India, Sequoia Capital India, TCS Ventures",2021-09-28,2021
FreshToHome,₹7.67 Cr,Fintech,Bangalore,Karnataka,Accel India,2022-01-20,2022
CarWale,₹462.86 Cr,SaaS,Kolkata,West Bengal,Kalaari Capital,2021-01-15,2021
The Ken,₹220.50 Cr,E-Commerce,Visakhapatnam,Andhra Pradesh,SoftBank Vision Fund,2021-12-16,2021
Blu Smart Mobility,₹36.70 Cr,E-Commerce,Hyderabad,Telangana,Kunal Shah,2022-03-07,2022
Blu Smart Mobility,₹2535.00 Cr,E-Commerce,Bangalore,Karnataka,"Naspers, Andreessen Horowitz, ICICI Venture",2025-01-24,2025
AgroStar,₹4.90 Cr,Foodtech,Ahmedabad,Gujarat,Nexus Venture Partners,2018-07-15,2018
CarDekho,₹7.91 Cr,E-Commerce,Kochi,Kerala,Falguni Nayar,2016-04-02,2016
Cure.fit,₹1089.35 Cr,Mobility,Coimbatore,Tamil Nadu,"Alibaba, General Atlantic",2017-03-26,2017
DeHaat,₹145.75 Cr,E-Commerce,Mumbai,Maharashtra,Matrix Partners India,2023-10-04,2023
Xpressbees,₹61.50 Cr,Fintech,Bangalore,Karnataka,Chiratae Ventures,2018-07-17,2018
Country Delight,₹2.60 Cr,Healthtech,Chandigarh,Chandigarh,Ratan Tata,2019-05-29,2019
Simplilearn,₹5.17 Cr,Fintech,Lucknow,Uttar Pradesh,Falguni Nayar,2017-07-01,2017
Zepto,₹16.04 Cr,E-Commerce,Bhubaneswar,Odisha,Kunal Shah,2021-11-09,2021
CityMall,₹443.49 Cr,Healthtech,Bangalore,Karnataka,Andreessen Horowitz,2022-01-05,2022
Vedantu,₹310.29 Cr,E-Commerce,Pune,Maharashtra,"Saama Capital, Blume Ventures",2016-05-27,2016
Waycool Foods,₹154.00 Cr,Foodtech,Chandigarh,Chandigarh,Binny Bansal,2025-04-28,2025
Drivezy,₹12.28 Cr,Social Media,Gurgaon,Haryana,Sachin Bansal,2019-04-27,2019
Milkbasket,₹9.89 Cr,E-Commerce,Pune,Maharashtra,SAIF Partners,2019-09-07,2019
Cars24,₹106.63 Cr,Fintech,Pune,Maharashtra,Deepinder Goyal,2020-07-10,2020
Yellow Messenger,₹37.28 Cr,Healthtech,Indore,Madhya Pradesh,Ratan Tata,2020-05-11,2020
GoIbibo,₹15.61 Cr,E-Commerce,Delhi,Delhi,Blume Ventures,2010-11-29,2010
Niyo,₹23.58 Cr,Fintech,Lucknow,Uttar Pradesh,Matrix Partners India,2022-07-12,2022
Zoomcar,₹14.82 Cr,Agritech,Chandigarh,Chandigarh,Binny Bansal,2021-12-18,2021
Jupiter,₹5.89 Cr,Foodtech,Gurgaon,Haryana,Kalaari Capital,2024-08-28,2024
Udaan,₹362.67 Cr,Fintech,Chennai,Tamil Nadu,"Kalaari Capital, Lightspeed Venture Partners, Accel India",2019-04-17,2019
BharatPe,₹75.52 Cr,Healthtech,Pune,Maharashtra,Elevation Capital,2020-08-12,2020
Swiggy,₹170.98 Cr,Foodtech,Visakhapatnam,Andhra Pradesh,Lightspeed Venture Partners,2016-12-20,2016
Zepto,₹5.20 Cr,E-Commerce,Hyderabad,Telangana,Sachin Bansal,2022-12-10,2022
InShorts,₹4.63 Cr,SaaS,Gurgaon,Haryana,Fireside Ventures,2019-07-20,2019
Verloop.io,₹294.00 Cr,Fintech,Delhi,Delhi,"SoftBank Vision Fund, Saama Capital",2021-03-13,2021
Ather Energy,₹184.17 Cr,E-Commerce,Pune,Maharashtra,Andreessen Horowitz,2016-05-07,2016
Digit Insurance,₹125.02 Cr,Healthtech,Indore,Madhya Pradesh,SAIF Partners,2020-08-22,2020
Stable Money,₹18.94 Cr,E-Commerce,Delhi,Delhi,Kalaari Capital,2023-12-01,2023
CommonFloor,₹5.81 Cr,E-Commerce,Pune,Maharashtra,SAIF Partners,2014-02-15,2014
Vedantu,₹83.50 Cr,E-Commerce,Delhi,Delhi,Chiratae Ventures,2016-07-20,2016
Rapido,₹34.67 Cr,E-Commerce,Coimbatore,Tamil Nadu,Matrix Partners India,2019-09-23,2019
Razorpay,₹1692.52 Cr,Fintech,Chandigarh,Chandigarh,"TPG Capital, Tiger Global, Steadview Capital, ChrysCapital",2018-07-01,2018
PhonePe,₹102.21 Cr,E-Commerce,Hyderabad,Telangana,"Accel India, Sequoia Capital India",2014-10-29,2014
Ula,₹120.63 Cr,SaaS,Delhi,Delhi,Blume Ventures,2020-01-05,2020
Captain Fresh,₹357.01 Cr,Mobility,Mysore,Karnataka,Matrix Partners India,2025-09-10,2025
Yatra,₹67.25 Cr,E-Commerce,Gurgaon,Haryana,"Ritesh Agarwal, Nexus Venture Partners",2014-06-06,2014
InShorts,₹48.42 Cr,SaaS,Ahmedabad,Gujarat,Binny Bansal,2024-07-02,2024
InShorts,₹7.25 Cr,SaaS,Coimbatore,Tamil Nadu,Sachin Bansal,2019-08-14,2019
Ultraviolette,₹832.50 Cr,Fintech,Bangalore,Karnataka,Peak XV Partners,2024-03-24,2024
Udaan,₹547.26 Cr,Fintech,Mysore,Karnataka,"Chiratae Ventures, Alibaba",2016-04-13,2016
Dunzo,₹201.60 Cr,SaaS,Chandigarh,Chandigarh,Sequoia Capital India,2016-04-15,2016
Jupiter,₹25.83 Cr,Foodtech,Mumbai,Maharashtra,Kalaari Capital,2023-03-09,2023
Moglix,₹24.83 Cr,Healthtech,Delhi,Delhi,Bhavish Aggarwal,2017-09-26,2017
Ultraviolette,₹3.89 Cr,Fintech,Gurgaon,Haryana,Bhavish Aggarwal,2024-01-10,2024
upGrad,₹69.11 Cr,E-Commerce,Bangalore,Karnataka,Chiratae Ventures,2016-01-25,2016
Flipkart Quick,₹215.04 Cr,SaaS,Indore,Madhya Pradesh,Chiratae Ventures,2023-02-13,2023
OfBusiness,₹455.97 Cr,E-Commerce,Hyderabad,Telangana,"Times Internet, Kalaari Capital",2020-01-12,2020
Pilgrim,₹26.22 Cr,Deeptech,Gurgaon,Haryana,Mumbai Angels,2025-11-07,2025
Country Delight,₹121.36 Cr,Healthtech,Hyderabad,Telangana,Vijay Shekhar Sharma,2024-10-20,2024
BigBasket,₹225.24 Cr,E-Commerce,Gurgaon,Haryana,"Peak XV Partners, Naspers",2016-10-25,2016
Dunzo Daily,₹3.96 Cr,SaaS,Gurgaon,Haryana,Lightspeed India,2019-06-04,2019
Mamaearth,₹8.99 Cr,Edtech,Indore,Madhya Pradesh,Falguni Nayar,2025-09-01,2025
Glance,₹176.45 Cr,Logistics,Bangalore,Karnataka,Coatue Management,2022-08-30,2022
Atomberg,₹10.60 Cr,SaaS,Kolkata,West Bengal,Bhavish Aggarwal,2022-03-25,2022
Ula,₹190.00 Cr,SaaS,Jaipur,Rajasthan,Chiratae Ventures,2020-02-13,2020
FreshToHome,₹313.90 Cr,Fintech,Kolkata,West Bengal,"Steadview Capital, Peak XV Partners",2022-10-28,2022
Blinkit,₹13.53 Cr,Edtech,Chandigarh,Chandigarh,Binny Bansal,2019-04-06,2019
FreshToHome,₹1388.91 Cr,Fintech,Chennai,Tamil Nadu,"Nexus Venture Partners, SoftBank Vision Fund, Blackstone, ICICI Venture, Accel Partners",2025-03-01,2025
Zoomcar,₹7.54 Cr,Agritech,Lucknow,Uttar Pradesh,Peak XV Partners,2016-02-10,2016
Zostel,₹262.53 Cr,Fintech,Indore,Madhya Pradesh,"Chiratae Ventures, Blume Ventures",2021-11-25,2021
Atomberg,₹134.22 Cr,SaaS,Pune,Maharashtra,"Accel India, Matrix Partners India",2025-02-04,2025
FabHotels,₹255.22 Cr,SaaS,Jaipur,Rajasthan,Coatue Management,2018-05-29,2018
Freecharge,₹90.37 Cr,E-Commerce,Hyderabad,Telangana,Chiratae Ventures,2012-10-05,2012
NinjaCart,₹156.49 Cr,E-Commerce,Lucknow,Uttar Pradesh,Naspers,2018-11-09,2018
ClearTrip,₹61.04 Cr,E-Commerce,Hyderabad,Telangana,Sequoia Capital India,2012-10-10,2012
upGrad,₹17.97 Cr,E-Commerce,Chennai,Tamil Nadu,Saama Capital,2015-02-15,2015
Acko,₹7.45 Cr,E-Commerce,Coimbatore,Tamil Nadu,Fireside Ventures,2017-10-26,2017
Moj,₹34.62 Cr,Edtech,Hyderabad,Telangana,Peak XV Partners,2024-07-26,2024
Pepperfry,₹976.98 Cr,E-Commerce,Pune,Maharashtra,"Matrix Partners India, Blume Ventures, Sequoia Capital India, ICICI Venture, Lightspeed Venture Partners",2018-06-30,2018
Ecom Express,₹12.64 Cr,E-Commerce,Bangalore,Karnataka,Blume Ventures,2014-02-15,2014
Ula,₹51.77 Cr,SaaS,Gurgaon,Haryana,Sequoia Capital India,2022-06-18,2022
Oyo,₹274.72 Cr,E-Commerce,Kochi,Kerala,Alibaba,2021-05-23,2021
Ola Electric,₹19.68 Cr,Foodtech,Mysore,Karnataka,Peak XV Partners,2023-09-12,2023
Vegrow,₹17.21 Cr,Gaming,Chennai,Tamil Nadu,Blume Ventures,2023-06-10,2023
CarWale,₹20.77 Cr,SaaS,Chandigarh,Chandigarh,Chiratae Ventures,2021-04-08,2021
Bounce,₹7.67 Cr,Foodtech,Kolkata,West Bengal,Elevation Capital,2020-08-27,2020
CRED,₹5.91 Cr,Foodtech,Chennai,Tamil Nadu,Bhavish Aggarwal,2014-09-23,2014
Rivigo,₹12.18 Cr,Foodtech,Kolkata,West Bengal,Chiratae Ventures,2015-10-02,2015
Sugar Cosmetics,₹224.07 Cr,Healthtech,Pune,Maharashtra,Accel Partners,2024-02-29,2024
Roposo,₹60.77 Cr,E-Commerce,Chandigarh,Chandigarh,Lightspeed India,2023-09-05,2023
Redbus,₹146.31 Cr,E-Commerce,Chennai,Tamil Nadu,Coatue Management,2015-06-27,2015
Udaan,₹344.14 Cr,Fintech,Visakhapatnam,Andhra Pradesh,"Tencent, Tiger Global, Andreessen Horowitz",2016-04-06,2016
Blue Smart,₹4.32 Cr,Fintech,Chandigarh,Chandigarh,Lightspeed India,2022-03-10,2022
BookMyShow,₹7.25 Cr,E-Commerce,Hyderabad,Telangana,Sachin Bansal,2012-12-25,2012
Droom,₹45.98 Cr,Agritech,Pune,Maharashtra,Lightspeed India,2021-04-29,2021
Rapido,₹160.48 Cr,E-Commerce,Lucknow,Uttar Pradesh,"Sequoia Capital, SAIF Partners",2017-07-09,2017
Stable Money,₹142.60 Cr,E-Commerce,Kolkata,West Bengal,Sachin Bansal,2025-03-13,2025
Ecom Express,₹22.81 Cr,E-Commerce,Pune,Maharashtra,Deepinder Goyal,2018-12-28,2018
Haptik,₹101.21 Cr,Mobility,Gurgaon,Haryana,Nexus Venture Partners,2021-11-16,2021
Droom,₹77.24 Cr,Agritech,Delhi,Delhi,Accel India,2019-01-05,2019
Shopclues,₹47.88 Cr,SaaS,Indore,Madhya Pradesh,Binny Bansal,2017-08-19,2017
Yulu,₹26.16 Cr,Mobility,Mumbai,Maharashtra,Lightspeed India,2016-09-20,2016
OkCredit,₹14.54 Cr,E-Commerce,Mysore,Karnataka,Blume Ventures,2019-11-15,2019
Sugar Cosmetics,₹83.25 Cr,Healthtech,Chandigarh,Chandigarh,Lightspeed India,2024-03-03,2024
Xpressbees,₹22.39 Cr,Fintech,Ahmedabad,Gujarat,Falguni Nayar,2020-03-10,2020
Dunzo Daily,₹6.19 Cr,SaaS,Mysore,Karnataka,Accel India,2023-04-15,2023
Shadowfax,₹341.40 Cr,SaaS,Mysore,Karnataka,"Aditya Birla Ventures, SAIF Partners",2021-06-10,2021
