Startup Name,Amount_Cleaned,Amount_USD,Amount_INR_Numeric,Sector_Standardized,City,State_Standardized,Investors' Name,Funding_Stage,Date_Parsed,Year,Quarter,Month
Licious,₹15.63 Cr,$2.13M,156274234.7504215,Logistics,Pune,Maharashtra,Saama Capital,Pre-Series A,2021-02-08,2021,Q1,February
Verloop.io,₹13.33 Cr,$1.98M,133329748.9868131,Fintech,Gurgaon,Haryana,Peak XV Partners,Seed,2016-01-31,2016,Q1,January
Country Delight,₹390.27 Cr,$46.88M,3902710123.2132154,Healthtech,Mysore,Karnataka,"Amazon Ventures, Elevation Capital",Debt,2024-08-22,2024,Q3,August
Josh,₹154.77 Cr,$21.06M,1547673866.8373675,Fintech,Chennai,Tamil Nadu,"Accel India, Elevation Capital",Series A,2021-12-01,2021,Q4,December
Moglix,₹63.97 Cr,$8.63M,639731098.29387,Healthtech,Delhi,Delhi,Elevation Capital,Pre-Series A,2020-06-29,2020,Q2,June
Arya.ag,₹12.76 Cr,$1.54M,127573040.4128153,Logistics,Ahmedabad,Gujarat,Nexus Venture Partners,Pre-Series A,2023-11-10,2023,Q4,November
Moj,₹117.40 Cr,$15.84M,1173991298.422389,Edtech,Gurgaon,Haryana,"Peak XV Partners, Accel India",Bridge,2020-04-16,2020,Q2,April
Slice,₹17.62 Cr,$2.13M,176215058.0333099,SaaS,Mumbai,Maharashtra,Indian Angel Network,Pre-Series A,2023-02-20,2023,Q1,February
HealthifyMe,₹15.94 Cr,$2.61M,159448183.83152556,E-Commerce,Mumbai,Maharashtra,Nexus Venture Partners,Pre-Series A,2014-08-06,2014,Q3,August
ElasticRun,₹619.60 Cr,$84.30M,6195997484.616604,Gaming,Mumbai,Maharashtra,Lightspeed Venture Partners,Series B,2021-01-19,2021,Q1,January
CommonFloor,₹212.20 Cr,$39.71M,2122029248.196953,E-Commerce,Delhi,Delhi,"Andreessen Horowitz, Saama Capital",Series B,2012-06-24,2012,Q2,June
Ninjacart,₹4.68 Cr,$0.60M,46772643.8936901,Mobility,Thiruvananthapuram,Kerala,Saama Capital,Seed,2022-08-04,2022,Q3,August
Zoomcar,₹4.39 Cr,$0.65M,43854683.775113106,Agritech,Gurgaon,Haryana,Accel India,Seed,2016-08-02,2016,Q3,August
Ninjacart,₹37.36 Cr,$5.74M,373589247.0508237,Mobility,Pune,Maharashtra,Matrix Partners India,Series A,2017-08-05,2017,Q3,August
Noise,₹26.11 Cr,$3.09M,261059211.8093181,E-Commerce,Delhi,Delhi,Matrix Partners India,Series A,2025-08-23,2025,Q3,August
Zetwerk,₹400.84 Cr,$54.09M,4008368228.1543837,Foodtech,Ahmedabad,Gujarat,"Wipro Ventures, Sequoia Capital India, Accel India",Series C,2020-06-16,2020,Q2,June
Chingari,₹240.68 Cr,$29.14M,2406769440.175858,Healthtech,Hyderabad,Telangana,Google Ventures,Series B,2023-12-12,2023,Q4,December
Zerodha,₹114.95 Cr,$17.65M,1149461649.2602718,E-Commerce,Hyderabad,Telangana,"Elevation Capital, Kalaari Capital",Series A,2017-03-17,2017,Q1,March
Jumbotail,₹11.15 Cr,$1.50M,111457457.56762837,SaaS,Ahmedabad,Gujarat,Falguni Nayar,Seed,2020-02-11,2020,Q1,February
Quikr,₹61.41 Cr,$10.06M,614117481.2227774,E-Commerce,Indore,Madhya Pradesh,"Lightspeed India, Ritesh Agarwal",Series A,2014-03-27,2014,Q1,March
Xpressbees,₹37.80 Cr,$5.80M,377972050.2634931,Fintech,Delhi,Delhi,Lightspeed India,Series A,2017-11-21,2017,Q4,November
NinjaCart,₹251.92 Cr,$36.84M,2519198438.357007,E-Commerce,Bangalore,Karnataka,Alibaba,Series B,2018-12-14,2018,Q4,December
Vogo,₹24.16 Cr,$3.59M,241563778.9793692,Edtech,Delhi,Delhi,Matrix Partners India,Pre-Series A,2016-02-02,2016,Q1,February
Go Digit,₹29.64 Cr,$4.00M,296400000.0,Social Media,Jaipur,Rajasthan,Ritesh Agarwal,Seed,2020-01-12,2020,Q1,January
Shiprocket,₹3.02 Cr,$0.45M,30227801.732484426,Foodtech,Hyderabad,Telangana,Lightspeed India,Seed,2016-01-21,2016,Q1,January
Pepperfry,₹195.36 Cr,$30.00M,1953600000.0000002,E-Commerce,Mumbai,Maharashtra,"Kalaari Capital, Peak XV Partners",Series A,2017-05-07,2017,Q2,May
Moglix,₹6.99 Cr,$1.02M,69933299.20268308,Healthtech,Hyderabad,Telangana,Indian Angel Network,Seed,2018-12-03,2018,Q4,December
Dunzo,₹97.20 Cr,$15.15M,971969085.7032826,SaaS,Ahmedabad,Gujarat,Ratan Tata,Series B,2015-08-29,2015,Q3,August
upGrad,₹30.40 Cr,$4.67M,304019542.19192916,E-Commerce,Chennai,Tamil Nadu,Binny Bansal,Pre-Series A,2017-10-26,2017,Q4,October
Toppr,₹4.84 Cr,$0.72M,48444512.41910413,E-Commerce,Delhi,Delhi,SAIF Partners,Seed,2016-10-05,2016,Q4,October
Hike Messenger,₹189.16 Cr,$32.28M,1891600538.2187126,E-Commerce,Pune,Maharashtra,"Kalaari Capital, Reliance Ventures",Series B,2013-09-04,2013,Q3,September
BigBasket,₹435.20 Cr,$63.64M,4352042015.065495,E-Commerce,Gurgaon,Haryana,Amazon Ventures,Debt,2018-11-13,2018,Q4,November
Pilgrim,₹69.60 Cr,$8.24M,695994755.7218106,Deeptech,Mumbai,Maharashtra,Blume Ventures,Series A,2025-12-31,2025,Q4,December
Vedantu,₹464.99 Cr,$67.99M,4649884036.179457,E-Commerce,Mumbai,Maharashtra,"Infosys Innovation Fund, Accel Partners",Debt,2018-04-01,2018,Q2,April
CarDekho,₹46.21 Cr,$6.24M,462102790.74784875,E-Commerce,Delhi,Delhi,Sequoia Capital India,Pre-Series A,2020-10-26,2020,Q4,October
Zepto,₹17.24 Cr,$2.45M,172402853.60413244,E-Commerce,Pune,Maharashtra,SAIF Partners,Pre-Series A,2019-09-03,2019,Q3,September
Waycool Foods,₹6.38 Cr,$0.77M,63836670.2808598,Foodtech,Bangalore,Karnataka,Indian Angel Network,Pre-Series A,2023-01-03,2023,Q1,January
Jumbotail,₹10.30 Cr,$1.25M,102996381.44776537,SaaS,Indore,Madhya Pradesh,Falguni Nayar,Pre-Series A,2023-05-23,2023,Q2,May
Arya.ag,₹19.31 Cr,$2.34M,193059088.60202187,Logistics,Bangalore,Karnataka,Falguni Nayar,Pre-Series A,2023-08-02,2023,Q3,August
FamPay,₹4.77 Cr,$0.68M,47656454.486509934,Fintech,Delhi,Delhi,Accel India,Seed,2019-10-28,2019,Q4,October
Yellow Messenger,₹12.20 Cr,$1.82M,121988414.8646948,Healthtech,Delhi,Delhi,Chiratae Ventures,Seed,2016-02-11,2016,Q1,February
BYJU'S,₹59.25 Cr,$9.71M,592486619.8441496,Foodtech,Pune,Maharashtra,Ritesh Agarwal,Series A,2014-11-08,2014,Q4,November
FamPay,₹182.88 Cr,$24.68M,1828833025.0886152,Fintech,Delhi,Delhi,Peak XV Partners,Series A,2020-11-13,2020,Q4,November
Tractor Junction,₹257.85 Cr,$30.51M,2578517230.334893,Logistics,Delhi,Delhi,Naspers,Series B,2025-05-25,2025,Q2,May
boAt,₹10.62 Cr,$1.29M,106179640.46898058,Logistics,Mysore,Karnataka,Bhavish Aggarwal,Seed,2023-11-10,2023,Q4,November
BluSmart,₹598.72 Cr,$70.85M,5987209619.494355,Social Media,Chennai,Tamil Nadu,"General Atlantic, Chiratae Ventures",Series B,2025-05-30,2025,Q2,May
Zepto,₹26.42 Cr,$3.59M,264151735.70067164,E-Commerce,Hyderabad,Telangana,Accel India,Seed,2021-06-19,2021,Q2,June
CarDekho,₹23.40 Cr,$5.01M,234025253.04506487,E-Commerce,Mumbai,Maharashtra,Fireside Ventures,Pre-Series A,2011-11-19,2011,Q4,November
Atomberg,₹37.44 Cr,$4.43M,374407087.23135054,SaaS,Nagpur,Maharashtra,Nexus Venture Partners,Series A,2025-02-26,2025,Q1,February
Spinny,₹13.72 Cr,$2.04M,137158251.89442685,SaaS,Delhi,Delhi,Saama Capital,Pre-Series A,2016-03-06,2016,Q1,March
HealthifyMe,₹42.06 Cr,$6.26M,420645128.59579843,E-Commerce,Coimbatore,Tamil Nadu,Bhavish Aggarwal,Pre-Series A,2016-09-08,2016,Q3,September
Ola Electric,₹8.88 Cr,$1.05M,88786674.18827085,Foodtech,Hyderabad,Telangana,Bhavish Aggarwal,Seed,2025-08-28,2025,Q3,August
MyGlamm,₹1404.77 Cr,$166.24M,14047661683.407019,E-Commerce,Bangalore,Karnataka,"Coatue Management, Lightspeed Venture Partners",Series C,2025-04-28,2025,Q2,April
Drivezy,₹33.49 Cr,$4.52M,334945437.3658787,Social Media,Delhi,Delhi,SAIF Partners,Pre-Series A,2020-02-18,2020,Q1,February
Shiprocket,₹10.83 Cr,$1.61M,108287098.47709109,Foodtech,Bangalore,Karnataka,Vijay Shekhar Sharma,Seed,2016-10-02,2016,Q4,October
Jumbotail,₹4.38 Cr,$0.62M,43750908.36723689,SaaS,Kochi,Kerala,Lightspeed India,Seed,2019-03-16,2019,Q1,March
Yulu,₹568.64 Cr,$83.15M,5686393244.364432,Mobility,Chennai,Tamil Nadu,"SAIF Partners, Accel India",Series B,2018-08-04,2018,Q3,August
OLX India,₹32.73 Cr,$6.12M,327278502.1802423,E-Commerce,Gurgaon,Haryana,Vijay Shekhar Sharma,Pre-Series A,2012-08-26,2012,Q3,August
Glance,₹18.97 Cr,$2.41M,189699530.41024113,Logistics,Gurgaon,Haryana,Fireside Ventures,Pre-Series A,2022-05-06,2022,Q2,May
Shaadi.com,₹138.69 Cr,$21.62M,1386942198.420504,E-Commerce,Chandigarh,Chandigarh,"SAIF Partners, Saama Capital",Series B,2015-11-08,2015,Q4,November
InMobi,₹5.32 Cr,$1.14M,53221963.39500682,E-Commerce,Bangalore,Karnataka,Fireside Ventures,Seed,2011-09-26,2011,Q3,September
ET Money,₹5.20 Cr,$0.66M,52031408.31852639,Agritech,Chennai,Tamil Nadu,Binny Bansal,Seed,2022-01-02,2022,Q1,January
Acko,₹6.74 Cr,$1.00M,67364039.57075128,E-Commerce,Bangalore,Karnataka,Kunal Shah,Seed,2016-03-13,2016,Q1,March
CarDekho,₹201.47 Cr,$31.41M,2014700317.327393,E-Commerce,Chennai,Tamil Nadu,"Matrix Partners India, Lightspeed Venture Partners",Series B,2015-12-19,2015,Q4,December
Roposo,₹41.91 Cr,$5.66M,419100519.0734036,E-Commerce,Coimbatore,Tamil Nadu,Sachin Bansal,Series A,2020-02-28,2020,Q1,February
OYO Rooms,₹30.76 Cr,$4.15M,307613310.6132859,E-Commerce,Bangalore,Karnataka,Peak XV Partners,Pre-Series A,2020-02-10,2020,Q1,February
BharatPe,₹103.46 Cr,$13.96M,1034553413.739718,Healthtech,Mumbai,Maharashtra,Matrix Partners India,Series A,2020-06-12,2020,Q2,June
CRED,₹3.41 Cr,$0.58M,34090294.280807875,Foodtech,Gurgaon,Haryana,Nexus Venture Partners,Seed,2013-06-06,2013,Q2,June
Revolt Motors,₹198.68 Cr,$23.51M,1986769227.7842665,Fintech,Gurgaon,Haryana,Accel Partners,Series B,2025-09-29,2025,Q3,September
Country Delight,₹29.87 Cr,$3.80M,298728244.4389486,Healthtech,Mumbai,Maharashtra,Deepinder Goyal,Series A,2022-12-28,2022,Q4,December
Stable Money,₹578.85 Cr,$68.50M,5788457617.197824,E-Commerce,Ahmedabad,Gujarat,"General Atlantic, Accel Partners",Series B,2025-07-14,2025,Q3,July
Yellow Messenger,₹8.57 Cr,$1.28M,85731079.70951661,Healthtech,Hyderabad,Telangana,Accel India,Seed,2016-01-21,2016,Q1,January
Dunzo,₹46.98 Cr,$7.21M,469802962.3848145,SaaS,Pune,Maharashtra,Saama Capital,Series A,2017-12-05,2017,Q4,December
The Ken,₹735.00 Cr,$100.00M,7350000000.0,E-Commerce,Chennai,Tamil Nadu,"Alibaba, Peak XV Partners, Fireside Ventures",Series B,2021-12-11,2021,Q4,December
Josh,₹453.83 Cr,$57.74M,4538310548.852816,Fintech,Mumbai,Maharashtra,"Blume Ventures, Fireside Ventures",Series C,2022-09-16,2022,Q3,September
Paytm First Games,₹126.91 Cr,$17.27M,1269094388.5513825,Social Media,Gurgaon,Haryana,"Peak XV Partners, Sachin Bansal",Bridge,2021-07-11,2021,Q3,July
Pilgrim,₹48.84 Cr,$5.91M,488381137.78677636,Deeptech,Gurgaon,Haryana,Matrix Partners India,Series A,2023-08-02,2023,Q3,August
Khatabook,₹156.84 Cr,$18.84M,1568376481.099635,SaaS,Mumbai,Maharashtra,"Peak XV Partners, Mumbai Angels",Series B,2024-04-15,2024,Q2,April
DailyHunt,₹19.10 Cr,$2.29M,190999123.38282496,Fintech,Hyderabad,Telangana,Accel India,Seed,2024-01-20,2024,Q1,January
Go Digit,₹38.50 Cr,$5.24M,385034594.67139477,Social Media,Gurgaon,Haryana,Chiratae Ventures,Pre-Series A,2021-06-29,2021,Q2,June
Paytm First Games,₹80.27 Cr,$12.33M,802650313.1574385,Social Media,Chandigarh,Chandigarh,"Lightspeed India, Accel India",Bridge,2017-07-28,2017,Q3,July
Treebo,₹899.02 Cr,$122.32M,8990172745.41726,Logistics,Bangalore,Karnataka,"TPG Capital, Carlyle Group",Series C,2021-06-05,2021,Q2,June
PayTM,₹26.29 Cr,$3.84M,262910746.39194155,Mobility,Chennai,Tamil Nadu,Bhavish Aggarwal,Pre-Series A,2018-05-07,2018,Q2,May
Mamaearth,₹36.45 Cr,$4.31M,364454376.7890851,Edtech,Mumbai,Maharashtra,Sequoia Capital India,Series A,2025-02-04,2025,Q1,February
Khatabook,₹345.05 Cr,$43.90M,3450522015.3567467,SaaS,Kochi,Kerala,Sequoia Capital India,Debt,2022-12-20,2022,Q4,December
CropIn,₹3.30 Cr,$0.42M,32985483.747641984,Agritech,Chennai,Tamil Nadu,Saama Capital,Seed,2022-03-12,2022,Q1,March
Upstox,₹111.76 Cr,$17.42M,1117606174.4061975,Fintech,Indore,Madhya Pradesh,Fireside Ventures,Series A,2015-11-10,2015,Q4,November
Tractor Junction,₹14.71 Cr,$1.87M,147073307.68391606,Logistics,Jaipur,Rajasthan,Matrix Partners India,Pre-Series A,2022-07-12,2022,Q3,July
Naukri,₹37.21 Cr,$7.97M,372070541.4386154,E-Commerce,Hyderabad,Telangana,Fireside Ventures,Series A,2011-06-08,2011,Q2,June
Go Digit,₹24.38 Cr,$3.74M,243750118.39958873,Social Media,Bangalore,Karnataka,Kalaari Capital,Pre-Series A,2017-09-26,2017,Q3,September
Zoomcar,₹14.86 Cr,$2.28M,148553201.42466906,Agritech,Vadodara,Gujarat,Sachin Bansal,Pre-Series A,2017-08-28,2017,Q3,August
CarDekho,₹14.78 Cr,$1.99M,147821458.82267332,E-Commerce,Kochi,Kerala,SAIF Partners,Seed,2020-08-04,2020,Q3,August
Jumbotail,₹79.19 Cr,$10.69M,791918107.1212986,SaaS,Mumbai,Maharashtra,Chiratae Ventures,Series A,2020-05-31,2020,Q2,May
Naukri,₹11.15 Cr,$2.44M,111475464.54535224,E-Commerce,Pune,Maharashtra,Kunal Shah,Seed,2010-02-13,2010,Q1,February
Oyo,₹24.68 Cr,$3.67M,246764962.7586302,E-Commerce,Pune,Maharashtra,Indian Angel Network,Pre-Series A,2016-04-28,2016,Q2,April
Cure.fit,₹66.19 Cr,$9.68M,661861052.638976,Mobility,Gurgaon,Haryana,Sequoia Capital India,Series A,2018-02-14,2018,Q1,February
BharatPe,₹8.00 Cr,$1.14M,79961899.25142626,Healthtech,Hyderabad,Telangana,Fireside Ventures,Seed,2019-04-12,2019,Q2,April
Dunzo Daily,₹6.18 Cr,$0.83M,61820693.5620576,SaaS,Chennai,Tamil Nadu,Binny Bansal,Seed,2020-11-24,2020,Q4,November
Quikr,₹11.06 Cr,$1.89M,110563480.56284578,E-Commerce,Pune,Maharashtra,Elevation Capital,Seed,2013-11-03,2013,Q4,November
Simplilearn,₹1737.78 Cr,$254.10M,17377828516.602875,Fintech,Bhubaneswar,Odisha,"Accel Partners, Peak XV Partners",Series C,2018-07-31,2018,Q3,July
Mobile Premier League,₹110.44 Cr,$15.03M,1104350198.3267398,Foodtech,Hyderabad,Telangana,Lightspeed India,Bridge,2021-11-13,2021,Q4,November
Simple Energy,₹109.18 Cr,$13.11M,1091822762.6780102,Fintech,Gurgaon,Haryana,"Sachin Bansal, Matrix Partners India",Series A,2024-07-05,2024,Q3,July
Country Delight,₹62.23 Cr,$8.47M,622286470.2301288,Healthtech,Bangalore,Karnataka,Kalaari Capital,Series A,2021-03-19,2021,Q1,March
Sugar Cosmetics,₹70.82 Cr,$8.38M,708155057.946802,Healthtech,Kochi,Kerala,Accel India,Series A,2025-07-05,2025,Q3,July
Yatra,₹40.10 Cr,$8.59M,400950278.02711624,E-Commerce,Delhi,Delhi,Sachin Bansal,Series A,2011-06-06,2011,Q2,June
Blu Smart Mobility,₹28.16 Cr,$3.33M,281582300.04351926,E-Commerce,Hyderabad,Telangana,Binny Bansal,Pre-Series A,2025-10-18,2025,Q4,October
NinjaCart,₹200.80 Cr,$29.36M,2008044268.2073395,E-Commerce,Mumbai,Maharashtra,General Atlantic,Series B,2018-10-25,2018,Q4,October
Housing.com,₹16.47 Cr,$2.81M,164697476.15075064,E-Commerce,Mumbai,Maharashtra,Sequoia Capital India,Pre-Series A,2013-12-07,2013,Q4,December
CarWale,₹87.53 Cr,$11.81M,875265799.0929202,SaaS,Indore,Madhya Pradesh,Ratan Tata,Series A,2020-08-12,2020,Q3,August
Shadowfax,₹130.45 Cr,$18.52M,1304491051.6990309,SaaS,Ahmedabad,Gujarat,"SAIF Partners, Matrix Partners India",Series B,2019-02-07,2019,Q1,February
Niyo,₹121.29 Cr,$16.50M,1212886247.1352682,Fintech,Bangalore,Karnataka,"Fireside Ventures, Ratan Tata",Series A,2021-09-17,2021,Q3,September
Atomberg,₹6.26 Cr,$0.80M,62633984.69001303,SaaS,Mumbai,Maharashtra,Chiratae Ventures,Pre-Series A,2022-09-21,2022,Q3,September
Lybrate,₹8.52 Cr,$1.45M,85185598.7257892,Fintech,Bangalore,Karnataka,Accel India,Seed,2013-10-11,2013,Q4,October
Yulu,₹1406.76 Cr,$199.77M,14067599293.29523,Mobility,Kochi,Kerala,"Kalaari Capital, Coatue Management, Naspers, SAIF Partners",Series C,2019-09-20,2019,Q3,September
Open Network,₹313.05 Cr,$37.05M,3130514997.511255,Healthtech,Lucknow,Uttar Pradesh,"Blume Ventures, Steadview Capital",Series B,2025-08-23,2025,Q3,August
Licious,₹26.36 Cr,$3.56M,263591720.78254265,Logistics,Kochi,Kerala,Peak XV Partners,Pre-Series A,2020-03-02,2020,Q1,March
Snapdeal,₹25.43 Cr,$4.76M,254255911.45303681,E-Commerce,Mumbai,Maharashtra,Ratan Tata,Series A,2012-03-29,2012,Q1,March
Pilgrim,₹3.29 Cr,$0.42M,32867678.511362724,Deeptech,Bangalore,Karnataka,Deepinder Goyal,Seed,2022-05-19,2022,Q2,May
Revv,₹222.30 Cr,$30.00M,2223000000.0,Fintech,Chandigarh,Chandigarh,"Naspers, Elevation Capital",Series A,2020-03-30,2020,Q1,March
TaxiForSure,₹85.70 Cr,$18.36M,857031768.5631386,E-Commerce,Lucknow,Uttar Pradesh,"Blume Ventures, Bhavish Aggarwal",Series A,2011-05-12,2011,Q2,May
Nykaa Fashion,₹3.89 Cr,$0.49M,38899006.8259107,SaaS,Mysore,Karnataka,Falguni Nayar,Seed,2022-03-25,2022,Q1,March
GoIbibo,₹16.91 Cr,$3.70M,169069908.09998345,E-Commerce,Bangalore,Karnataka,SAIF Partners,Seed,2010-05-03,2010,Q2,May
Sugar Cosmetics,₹31.17 Cr,$3.77M,311676235.14866567,Healthtech,Surat,Gujarat,Lightspeed India,Series A,2023-02-08,2023,Q1,February
Fire-Boltt,₹892.55 Cr,$105.63M,8925538683.94149,Foodtech,Chennai,Tamil Nadu,"Andreessen Horowitz, SoftBank Vision Fund, KKR India, Steadview Capital",Series C,2025-07-31,2025,Q3,July
The HealthInsurance,₹5.22 Cr,$0.66M,52240186.12440893,Edtech,Gurgaon,Haryana,Mumbai Angels,Seed,2022-09-20,2022,Q3,September
FreshToHome,₹5.70 Cr,$0.81M,56971989.91098055,Fintech,Bangalore,Karnataka,Fireside Ventures,Seed,2019-05-06,2019,Q2,May
Cars24,₹64.73 Cr,$9.19M,647312018.8585473,Fintech,Bangalore,Karnataka,Peak XV Partners,Series A,2019-05-28,2019,Q2,May
Go Digit,₹95.94 Cr,$13.05M,959446333.2336762,Social Media,Kolkata,West Bengal,"Indian Angel Network, Ratan Tata",Series A,2021-06-01,2021,Q2,June
Tractor Junction,₹80.87 Cr,$9.79M,808740201.2870635,Logistics,Kolkata,West Bengal,Vijay Shekhar Sharma,Series A,2023-11-07,2023,Q4,November
Ula,₹83.61 Cr,$10.12M,836090660.8639022,SaaS,Mumbai,Maharashtra,"Matrix Partners India, Peak XV Partners",Series B,2023-06-13,2023,Q2,June
Quikr,₹11.46 Cr,$2.51M,114634758.790482,E-Commerce,Mumbai,Maharashtra,Indian Angel Network,Seed,2010-03-16,2010,Q1,March
CarDekho,₹240.15 Cr,$44.94M,2401495382.8246794,E-Commerce,Bangalore,Karnataka,"Flipkart Ventures, Peak XV Partners",Series B,2012-05-14,2012,Q2,May
Moglix,₹131.52 Cr,$17.89M,1315166987.3731,Healthtech,Gurgaon,Haryana,Chiratae Ventures,Series A,2021-04-23,2021,Q2,April
Zappfresh,₹11.11 Cr,$1.41M,111085446.73825166,Gaming,Pune,Maharashtra,Peak XV Partners,Seed,2022-07-06,2022,Q3,July
Shadowfax,₹6.13 Cr,$0.90M,61297625.0105172,SaaS,Chennai,Tamil Nadu,Deepinder Goyal,Seed,2018-04-15,2018,Q2,April
Vegrow,₹99.35 Cr,$11.93M,993543011.7582085,Gaming,Jaipur,Rajasthan,Chiratae Ventures,Bridge,2024-05-25,2024,Q2,May
Drivezy,₹71.38 Cr,$10.96M,713789732.5939513,Social Media,Indore,Madhya Pradesh,"Fireside Ventures, Peak XV Partners",Series A,2017-01-05,2017,Q1,January
FreshToHome,₹43.23 Cr,$5.23M,432286428.4410833,Fintech,Ahmedabad,Gujarat,Matrix Partners India,Pre-Series A,2023-02-16,2023,Q1,February
BharatPe,₹152.36 Cr,$19.38M,1523628319.0543537,Healthtech,Mumbai,Maharashtra,Bhavish Aggarwal,Series B,2022-02-10,2022,Q1,February
Apna,₹94.57 Cr,$11.45M,945670717.9504157,Foodtech,Lucknow,Uttar Pradesh,Peak XV Partners,Bridge,2023-05-05,2023,Q2,May
FabFurnish,₹131.80 Cr,$19.61M,1317974041.2235847,Foodtech,Hyderabad,Telangana,Blume Ventures,Series B,2016-06-03,2016,Q2,June
Mobile Premier League,₹9.21 Cr,$1.37M,92115118.82089026,Foodtech,Delhi,Delhi,Sequoia Capital India,Seed,2016-10-07,2016,Q4,October
Apna,₹48.44 Cr,$6.16M,484383561.974074,Foodtech,Mumbai,Maharashtra,Accel India,Series A,2022-04-10,2022,Q2,April
Upstox,₹89.91 Cr,$14.73M,899075327.3004584,Fintech,Mumbai,Maharashtra,Falguni Nayar,Series A,2014-05-23,2014,Q2,May
Cars24,₹106.76 Cr,$15.16M,1067630899.9861976,Fintech,Mumbai,Maharashtra,"Falguni Nayar, Chiratae Ventures",Series A,2019-09-01,2019,Q3,September
Zomato,₹216.11 Cr,$33.69M,2161063585.454918,E-Commerce,Mumbai,Maharashtra,Fireside Ventures,Series B,2015-04-13,2015,Q2,April
Zostel,₹136.58 Cr,$19.39M,1365791637.1151812,Fintech,Thiruvananthapuram,Kerala,Lightspeed India,Series B,2019-10-24,2019,Q4,October
Portea Medical,₹9.32 Cr,$1.45M,93245542.2577619,E-Commerce,Bangalore,Karnataka,Elevation Capital,Seed,2015-08-07,2015,Q3,August
Fire-Boltt,₹26.66 Cr,$3.15M,266557764.04720953,Foodtech,Ahmedabad,Gujarat,Falguni Nayar,Pre-Series A,2025-08-15,2025,Q3,August
Quikr,₹2.83 Cr,$0.53M,28340227.96850108,E-Commerce,Pune,Maharashtra,Accel India,Seed,2012-06-14,2012,Q2,June
Yulu,₹41.06 Cr,$6.31M,410589461.9010513,Mobility,Chennai,Tamil Nadu,Indian Angel Network,Series A,2017-10-26,2017,Q4,October
Moglix,₹87.26 Cr,$13.40M,872639859.7628584,Healthtech,Bangalore,Karnataka,Lightspeed India,Bridge,2017-12-24,2017,Q4,December
Sugar Cosmetics,₹40.67 Cr,$4.81M,406716455.5422554,Healthtech,Kolkata,West Bengal,Chiratae Ventures,Pre-Series A,2025-12-05,2025,Q4,December
Apna,₹220.50 Cr,$30.00M,2205000000.0,Foodtech,Hyderabad,Telangana,Sequoia Capital,Series A,2021-09-23,2021,Q3,September
InMobi,₹200.72 Cr,$32.89M,2007171154.5119934,E-Commerce,Mumbai,Maharashtra,"Aditya Birla Ventures, Lightspeed India",Series B,2014-07-09,2014,Q3,July
Drivezy,₹20.56 Cr,$3.16M,205603930.99991882,Social Media,Indore,Madhya Pradesh,Peak XV Partners,Pre-Series A,2017-02-05,2017,Q1,February
MobiKwik,₹61.20 Cr,$8.95M,612036034.5245662,E-Commerce,Jaipur,Rajasthan,Sequoia Capital India,Series A,2018-03-18,2018,Q1,March
Amazon Fresh,₹12.66 Cr,$1.80M,126616091.44069175,Gaming,Indore,Madhya Pradesh,Kalaari Capital,Pre-Series A,2019-02-13,2019,Q1,February
upGrad,₹708.70 Cr,$103.63M,7086989635.741006,E-Commerce,Mumbai,Maharashtra,"Multiples Alternate Asset Management, General Atlantic",Debt,2018-02-14,2018,Q1,February
Freecharge,₹128.37 Cr,$21.91M,1283666498.2095902,E-Commerce,Chennai,Tamil Nadu,Lightspeed Venture Partners,Series A,2013-08-09,2013,Q3,August
HealthifyMe,₹206.89 Cr,$32.25M,2068863884.7731357,E-Commerce,Bangalore,Karnataka,Sequoia Capital India,Series B,2015-12-13,2015,Q4,December
Haptik,₹435.35 Cr,$58.75M,4353517574.238416,Mobility,Hyderabad,Telangana,"Matrix Partners India, Lightspeed India, Tiger Global",Series B,2020-04-28,2020,Q2,April
Scripbox,₹123.34 Cr,$14.60M,1233445221.7470014,Logistics,Bangalore,Karnataka,Elevation Capital,Bridge,2025-07-14,2025,Q3,July
Naukri,₹18.98 Cr,$4.15M,189827688.46271652,E-Commerce,Hyderabad,Telangana,Accel India,Pre-Series A,2010-05-26,2010,Q2,May
BlackBuck,₹7.17 Cr,$1.17M,71707962.7288932,Foodtech,Chennai,Tamil Nadu,Accel India,Seed,2014-09-02,2014,Q3,September
Verloop.io,₹45.59 Cr,$6.78M,455855840.24618596,Fintech,Kolkata,West Bengal,Matrix Partners India,Pre-Series A,2016-03-04,2016,Q1,March
CarDekho,₹593.20 Cr,$92.47M,5931952441.75579,E-Commerce,Hyderabad,Telangana,"Alibaba, Matrix Partners India",Series C,2015-01-20,2015,Q1,January
Oyo,₹19.53 Cr,$2.86M,195299975.06308955,E-Commerce,Pune,Maharashtra,Kalaari Capital,Seed,2018-10-06,2018,Q4,October
Acko,₹95.91 Cr,$13.62M,959115045.420522,E-Commerce,Delhi,Delhi,Fireside Ventures,Series A,2019-12-27,2019,Q4,December
Stable Money,₹799.66 Cr,$94.63M,7996608221.791013,E-Commerce,Visakhapatnam,Andhra Pradesh,Tencent,Debt,2025-11-30,2025,Q4,November
Simple Energy,₹9.83 Cr,$1.18M,98339215.16668987,Fintech,Indore,Madhya Pradesh,Fireside Ventures,Seed,2024-02-05,2024,Q1,February
Niyo,₹190.97 Cr,$23.12M,1909663441.8070495,Fintech,Coimbatore,Tamil Nadu,Naspers,Series A,2023-01-21,2023,Q1,January
